Library_node,SMILES,Connected_node,Expected_SMILES
1687_hp,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,2079_hp,COC(=O)CC1=CNC2=CC=CC=C21
1688_hp,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,2078_hp,COC(=O)CC1=CNC2=CC=CC=C21
1838_cj,CCOP(=O)(O)OCC,4371_cj,CCCCOP(=O)(O)OCCCC
8407_sedi,CCCCCCC=CCCCCCCCC(=O)OCC,7560_sedi,CCCCCCCCC=CCCCCCCCC(=O)N
774_hp,CC(=O)NC1=CC=CC=C1,1088_hp,CC(=O)NC1=CC=C(C=C1)O
9015_sedi,CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O,8730_sedi,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
12148_sedi,CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,9085_sedi,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
15457_cj,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO,16492_cj,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
3554_hyneg,C1=CC=C2C(=C1)C=C(N2)C(=O)O,4589_hyneg,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
12011_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O,14827_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
6419_hp,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,6435_hp,CCCC/C=C/C=C/C=C\CCCCCCCC(=O)O
6487_cj,CC(CO)OCC(C)OCC(C)OCC(C)O,9415_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O
12215_cj,COC1=CC=CC(=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,13114_cj,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
2089_hyneg,C1=CC=C(C=C1)C(=O)O,2646_hyneg,C1=CC(=CC=C1CCO)O
8534_cj,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,8579_cj,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl
3957_hp,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC=O,4656_hp,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C
2094_hyneg,C1=CC=C(C=C1)C(=O)O,2151_hyneg,C1=CC(=CC=C1CO)O
6487_cj,CC(CO)OCC(C)OCC(C)OCC(C)O,14826_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
4430_sedi,C1=CC=C(C=C1)N(C2=CC=CC=C2)C(=N)N,2673_sedi,CC(=NCCC1=CC=NC=C1)N
1354_hyneg,CCCCC(=O)O,1431_hyneg,CC(CC(=O)O)O
8400_hyneg,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O,9049_hyneg,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)O
3390_cj,CCN(CC)C(=O)C1=CC=CC(=C1)C,3435_cj,COC1=CC=C(C=C1)N2CCNCC2
7688_sedi,CCCCCCCCCCCCCCCCCC(=O)N,6385_sedi,CCCCCCCCCCCCCCCC(=O)N
10815_cj,CCCCCCCCC=CCCCCCCCCCCCC(=O)N,10821_cj,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N
4962_hp,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O,5678_hp,CNC1=C2C(=NC=N1)N(C=N2)C3CC(C(O3)CO)O
6487_cj,CC(CO)OCC(C)OCC(C)OCC(C)O,14827_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
2961_cj,CCOP(=O)(OCC)OCC,7229_cj,CCCCOP(=O)(OCCCC)OCCCC
895_cj,C1CC(=O)NC1C(=O)O,2275_cj,C1=CC=C(C=C1)CC(C(=O)O)N
4962_hp,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O,6561_hp,COC1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O
4960_hypos,CC1(C2CCC1(C(=O)C2)C)C,4962_hypos,CC(=CCCC(=CC=O)C)C
2538_hp,CCCCCCCCCC[N+](C)(C)[O-],5581_hp,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O
16104_sedi,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O,13828_sedi,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
2155_hyneg,C1=CC(=CC(=C1)O)CO,2646_hyneg,C1=CC(=CC=C1CCO)O
1388_cj,CC1=CC2=C(C=C1)N=CC=C2,8129_cj,CCCCCCCCCCCCCCCC[N+](C)(C)C
53_hyneg,C=CC(=O)O,822_hyneg,CC(C(=O)O)O
2567_hyneg,CC1=CC=CC=C1C(=O)O,2642_hyneg,C1=CC=C(C(=C1)C(=O)O)O
