ID,SMILES
10013_hp,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC
3143_hyneg,C1=CC=C(C(=C1)CC(=O)O)O
1836_cj,CCOP(=O)(O)OCC
8588_cj,CC(C)(C)[C@@H]([C@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O
6745_cj,CCCCCCCCN(C)CCCCCCCC
2032_hypos,C1CCOC(=O)C1
895_cj,C1CC(=O)NC1C(=O)O
2078_hp,COC(=O)CC1=CNC2=CC=CC=C21
835_hyneg,CC(C(=O)O)O
4092_hyneg,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
6634_sedi,CCC(C(=O)C1=CC2=C(C=C1)OCO2)N3CCCC3
7454_hypos,CCCCCCCCCC[N+](C)(C)[O-]
4803_hypos,CC1=CCC(CC1=O)C(=C)C
16492_cj,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
2565_hyneg,CC1=CC=CC=C1C(=O)O
1430_hyneg,C(C(=O)O)C(=O)O
1688_hp,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
6500_hypos,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
13645_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
5776_hp,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
5519_cj,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC=O
3742_hyneg,C1=CC=C(C=C1)CC(C(=O)O)N
1687_hp,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
8407_sedi,CCCCCCC=CCCCCCCCC(=O)OCC
2561_hyneg,CC1=CC=CC=C1C(=O)O
5581_hp,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O
10907_hypos,CCC(C)COC1C(C(C(C(O1)CO)O)O)O
2743_hp,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C
7592_hp,CCCCCCCCCCCCCC=CC(C(CO)N)O
1887_hyneg,CC(=O)CCC(=O)O
2926_hypos,C1CC(NC1)C(=O)O
4794_hp,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
1817_hyneg,C1CC(=O)OC(=O)C1
12368_sedi,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC
779_cj,COP(=O)(O)OC
11060_hypos,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)O
11516_hp,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
4762_hyneg,COC1=C(C=CC(=C1)C=CC(=O)O)O
4371_cj,CCCCOP(=O)(O)OCCCC
9353_cj,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
8129_cj,CCCCCCCCCCCCCCCC[N+](C)(C)C
3548_hypos,CC1(CC(=O)OC1=C)C
896_cj,C1=CC=C2C=NC=CC2=C1
2159_hp,COC1=C(C=C2C(=C1)C=CC(=O)O2)O
2440_hyneg,CCCCC(C(=O)O)O
5203_hyneg,C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O
5443_sedi,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=O
12625_hypos,CCCCCCCCCCCCCN1CC(OC(C1)C)C
5624_hypos,CCC=CCC1=C(CCC1=O)C
17400_cj,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
2642_hyneg,C1=CC=C(C(=C1)C(=O)O)O
1436_hyneg,CC(CC(=O)O)O
2079_hp,COC(=O)CC1=CNC2=CC=CC=C21
6501_hypos,C1C2=C(C=C(C=C2)O)C3=CC=CC=C31
14826_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
6561_hp,COC1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O
6224_cj,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C
3773_hyneg,C1=CC=C(C=C1)CC(C(=O)O)O
7559_sedi,CCCCCCCCC=CCCCCCCCC(=O)N
3106_hyneg,CC(=O)NC1=CC=C(C=C1)O
8392_hp,CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1
12815_hypos,C1=CC=C(C=C1)CCOC2C(C(C(C(O2)CO)O)O)O
4372_cj,CCCCOP(=O)(O)OCCCC
3986_hp,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl
7594_hp,CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O
1897_hyneg,CCCCCC(=O)O
5674_hypos,C1=CC=C(C=C1)CC(C(=O)O)N
5053_hp,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
7393_sedi,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
2302_cj,C1=CC=C(C(=C1)C(=O)O)C(=O)O
11975_hypos,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)O)O
