ID,m
10013_hp,0.881
3143_hyneg,0.938
1836_cj,0.96
8588_cj,0.934
6745_cj,0.827
2032_hypos,0.748771
895_cj,0.991
2078_hp,0.85
835_hyneg,0.836
4092_hyneg,0.801
6634_sedi,0.981
7454_hypos,0.876
4803_hypos,0.912
16492_cj,0.977
2565_hyneg,0.935
1430_hyneg,0.800302
1688_hp,0.939551
6500_hypos,0.876
13645_cj,0.995
5776_hp,0.941
5519_cj,0.848
3742_hyneg,0.9
1687_hp,0.94
8407_sedi,0.806
2561_hyneg,0.893
5581_hp,0.845
10907_hypos,0.864
1836_cj,0.96
2743_hp,0.889
7592_hp,0.826
1887_hyneg,0.84
2926_hypos,0.858
4794_hp,0.872
1817_hyneg,0.851
12368_sedi,0.996
779_cj,0.931
11060_hypos,0.852
