Library_node,SMILES,Connected_node,Expected_SMILES
3650_hyneg,CC1=CC(=O)NS(=O)(=O)O1,8482_hyneg,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
58_hyneg,C=CC(=O)O,822_hyneg,CC(C(=O)O)O
10322_hypos,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,11060_hypos,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)O
9415_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O,12011_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
895_cj,C1CC(=O)NC1C(=O)O,961_cj,CC(C)CC(C(=O)O)N
7578_hp,C(COCCOCCOCCOCCOCCO)O,10159_hp,C(COCCOCCOCCOCCOCCOCCO)O
2440_hyneg,CCCCC(C(=O)O)O,3525_hyneg,CCCCCCC(C(=O)O)O
961_cj,CC(C)CC(C(=O)O)N,5699_cj,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
2089_hyneg,C1=CC=C(C=C1)C(=O)O,3695_hyneg,C1=CC=C(C(=C1)C=CC(=O)O)O
8989_cj,CCCCCCCCCCCCCCCC(=O)NCCO,10275_cj,CCCCCCCCC=CCCCCCCCC(=O)NCCO
2567_hyneg,CC1=CC=CC=C1C(=O)O,4587_hyneg,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
4438_cj,CCNC1=NC(=NC(=N1)OC)NC(C)C,5212_cj,CC(C)NC1=NC(=NC(=N1)OC)NC(C)C
1825_hp,CN1C=NC2=C1C(=O)N(C(=O)N2)C,2235_hp,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
10013_hp,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,11517_hp,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
4639_cj,CCNC1=NC(=NC(=N1)Cl)NC(C)C,5330_cj,CCNC1=NC(=NC(=N1)SC)NC(C)C
2642_hyneg,C1=CC=C(C(=C1)C(=O)O)O,4587_hyneg,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
13728_cj,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,13871_cj,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
2442_hyneg,CCCCC(C(=O)O)O,3525_hyneg,CCCCCCC(C(=O)O)O
7162_cj,CC1=C(C(=CC=C1)C)N([C@@H](C)C(=O)O)C(=O)COC,7887_cj,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC
8058_cj,C(COCCOCCOCCOCCOCCO)O,12155_cj,C(COCCOCCOCCOCCOCCOCCOCCO)O
5719_hp,C1=CC=C(C(=C1)C2=CC=C(C=C2)C(=O)O)C3=NNN=N3,7089_hp,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
6708_hp,CCCCCCCCCCCCCCCC[N+](C)(C)C,8933_hp,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC
5581_hp,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,6383_hp,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
4215_sedi,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C,2704_sedi,CN(C)C(=O)NC1=CC=CC=C1
7744_sedi,CCCCCCCCCCCCCCCCCC(=O)O,7010_sedi,CCCCCCCCCCCCCCCCCCN
4037_hypos,COC1=CC=CC(=C1)C=O,4259_hypos,CCC1CC(=O)CC(=O)C1
5881_cj,C(COCCOCCOCCOCCO)O,8058_cj,C(COCCOCCOCCOCCOCCO)O
1836_cj,CCOP(=O)(O)OCC,7229_cj,CCCCOP(=O)(OCCCC)OCCCC
9415_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O,14826_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
4438_cj,CCNC1=NC(=NC(=N1)OC)NC(C)C,6021_cj,CC(C)NC1=NC(=NC(=N1)SC)NC(C)C
4372_cj,CCCCOP(=O)(O)OCCCC,7229_cj,CCCCOP(=O)(OCCCC)OCCCC
4962_hp,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O,5776_hp,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
5611_hypos,C1=CC=C(C=C1)CCCC(=O)O,5613_hypos,CCC(C1=CC=CC=C1)C(=O)O
1826_hp,CN1C=NC2=C1C(=O)N(C(=O)N2)C,2235_hp,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
11129_hp,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,12844_hp,CCCCOC(=O)CC(C(C(=O)C)C(=O)OCCCC)(C(=O)OCCCC)O
961_cj,CC(C)CC(C(=O)O)N,2275_cj,C1=CC=C(C=C1)CC(C(=O)O)N
13902_hp,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,14592_hp,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O
