ID,m
3650_hyneg,0.899
58_hyneg,0.967
10322_hypos,0.879
9415_cj,0.997
895_cj,0.991
7578_hp,0.919
2440_hyneg,0.938
961_cj,0.871
2089_hyneg,0.945
8989_cj,0.94
2567_hyneg,0.826
4438_cj,0.896
1825_hp,0.867
10013_hp,0.881
4639_cj,0.992
2642_hyneg,0.81
13728_cj,0.959
2442_hyneg,0.947
7162_cj,0.839
8058_cj,0.972
5719_hp,0.896
6708_hp,0.899
5581_hp,0.845
4215_sedi,0.883
7744_sedi,0.888
4037_hypos,0.806
5881_cj,0.887
1836_cj,0.96
9415_cj,0.997
4438_cj,0.896
4372_cj,0.997
4962_hp,0.984
5611_hypos,0.88
1826_hp,0.804
11129_hp,0.884
961_cj,0.871
13902_hp,0.902
