Library_node,Connected_node,Cor
10322_hypos,11060_hypos,0.390090146
9415_cj,12011_cj,0.998714913
7578_hp,10159_hp,0.403347006
2440_hyneg,3525_hyneg,0.377680443
4438_cj,5212_cj,0.81850967
10013_hp,11517_hp,0.70199387
4639_cj,5330_cj,0.977600853
13728_cj,13871_cj,0.982152203
7162_cj,7887_cj,0.897815462
5719_hp,7089_hp,-0.511440568
5581_hp,6383_hp,0.898554379
4215_sedi,2704_sedi,-0.550979672
9415_cj,14826_cj,0.979103165
4438_cj,6021_cj,0.967643412
4372_cj,7229_cj,0.567864758
4962_hp,5776_hp,0.86445179
5611_hypos,5613_hypos,0.953451677
1826_hp,2235_hp,0.578311499
13902_hp,14592_hp,0.423577945
