Library_node,SMILES,Connected_node,Expected_SMILES
36,CCCCCCCCCCCCCCCCCC(=O)N,37,CCCCCCCCCCCCCCCCCC(=O)N
37,CCCCCCCCCCCCCCCCCC(=O)N,87,CCCCCCCCCCCCCCCCCCCCCC(=O)N
38,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,88,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
38,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,89,CC(C)(C)[C@@H]([C@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O
39,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,90,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl
40,CC(C)(C)[C@@H]([C@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O,88,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
41,CCCCCCCCCCCCCCCC(=O)NCCO,43,CCCCCCCCC=CCCCCCCCC(=O)NCCO
42,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O,47,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
42,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O,82,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
42,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O,81,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
43,CCCCCCCCC=CCCCCCCCC(=O)NCCO,91,CCCCCCCCCCCCCCCCCC(=O)NCCO
44,C(COCCOCCOCCOCCOCCOCCO)O,92,C(COCCOCCOCCOCCOCCOCCOCCO)O
45,CCCCCCCCC=CCCCCCCCCCCCC(=O)N,93,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N
46,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,94,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl
47,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O,81,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
48,C(COCCOCCOCCOCCOCCOCCOCCO)O,92,C(COCCOCCOCCOCCOCCOCCOCCO)O
49,COC1=CC=CC(=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,95,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
50,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,96,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl
51,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,97,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl
52,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O,53,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
52,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O,98,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
53,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O,98,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
54,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,99,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C
55,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O,82,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
56,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,100,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
57,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,100,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
58,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=NCC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC,101,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=NCC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC
59,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO,60,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
60,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO,102,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
103,C=CC(=O)O,141,CC(C(=O)O)O
103,C=CC(=O)O,104,C=CC(=O)O
103,C=CC(=O)O,105,CC(C(=O)O)O
104,C=CC(=O)O,141,CC(C(=O)O)O
104,C=CC(=O)O,105,CC(C(=O)O)O
105,CC(C(=O)O)O,141,CC(C(=O)O)O
105,CC(C(=O)O)O,107,CC(C(=O)O)O
106,CC(C(=O)O)O,141,CC(C(=O)O)O
106,CC(C(=O)O)O,109,CC(C(=O)O)O
106,CC(C(=O)O)O,107,CC(C(=O)O)O
106,CC(C(=O)O)O,108,CC(C(=O)O)O
107,CC(C(=O)O)O,141,CC(C(=O)O)O
108,CC(C(=O)O)O,109,CC(C(=O)O)O
109,CC(C(=O)O)O,120,CCCCC(C(=O)O)O
109,CC(C(=O)O)O,142,CCCCCCC(C(=O)O)O
109,CC(C(=O)O)O,119,CCCCC(C(=O)O)O
110,CCCCC(=O)O,143,CC(CC(=O)O)O
111,C(C(=O)O)C(=O)O,144,CC(CC(=O)O)O
112,C1CC(=O)OC(=O)C1,145,CCCCCC(=O)O
113,CC(=O)CCC(=O)O,114,CC(=O)CCC(=O)O
113,CC(=O)CCC(=O)O,145,CCCCCC(=O)O
114,CC(=O)CCC(=O)O,145,CCCCCC(=O)O
115,C1=CC=C(C=C1)C(=O)O,146,C1=CC=C(C(=C1)C=CC(=O)O)O
115,C1=CC=C(C=C1)C(=O)O,147,C1=CC(=CC=C1CCO)O
116,C1=CC=C(C=C1)C(=O)O,148,C1=CC(=CC=C1C=O)O
117,C1=CC=C(C=C1)C(=O)O,149,C1=CC(=CC=C1CO)O
118,C1=CC(=CC(=C1)O)CO,147,C1=CC(=CC=C1CCO)O
119,CCCCC(C(=O)O)O,150,CCCCC(C(=O)O)O
119,CCCCC(C(=O)O)O,120,CCCCC(C(=O)O)O
119,CCCCC(C(=O)O)O,142,CCCCCCC(C(=O)O)O
120,CCCCC(C(=O)O)O,150,CCCCC(C(=O)O)O
120,CCCCC(C(=O)O)O,142,CCCCCCC(C(=O)O)O
121,C1=NC2=NC=NC(=C2N1)N,151,C1=NC2=NC=NC(=C2N1)N
122,CC1=CC=CC=C1C(=O)O,152,CC(=O)NC1=CC=C(C=C1)O
123,CC1=CC=CC=C1C(=O)O,125,C1=CC=C(C(=C1)C(=O)O)O
123,CC1=CC=CC=C1C(=O)O,153,C1=CC=C(C(=C1)C(=O)O)O
124,CC1=CC=CC=C1C(=O)O,125,C1=CC=C(C(=C1)C(=O)O)O
124,CC1=CC=CC=C1C(=O)O,154,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
124,CC1=CC=CC=C1C(=O)O,155,C1=CC=C2C(=C1)C(=CN2)C=CC(=O)O
125,C1=CC=C(C(=C1)C(=O)O)O,154,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
126,C1=CC(=CC(=C1)O)C(=O)O,147,C1=CC(=CC=C1CCO)O
127,CCCCCCCC(=O)O,156,CCCCCCCC(=O)O
128,C1=CC=C(C(=C1)CC(=O)O)O,157,COC1=C(C=CC(=C1)C=CC(=O)O)O
129,C1=CC=C2C(=C1)C=C(N2)C(=O)O,158,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
130,CC1=CC(=O)NS(=O)(=O)O1,159,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
131,C1=CC=C(C=C1)CC(C(=O)O)N,160,C1=CC=C(C=C1)CC(C(=O)O)O
131,C1=CC=C(C=C1)CC(C(=O)O)N,133,C1=CC=C(C=C1)CC(C(=O)O)O
131,C1=CC=C(C=C1)CC(C(=O)O)N,132,C1=CC=C(C=C1)CC(C(=O)O)N
132,C1=CC=C(C=C1)CC(C(=O)O)N,160,C1=CC=C(C=C1)CC(C(=O)O)O
132,C1=CC=C(C=C1)CC(C(=O)O)N,133,C1=CC=C(C=C1)CC(C(=O)O)O
133,C1=CC=C(C=C1)CC(C(=O)O)O,160,C1=CC=C(C=C1)CC(C(=O)O)O
134,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,161,C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O
135,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,162,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O
136,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,163,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O
137,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,164,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
138,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,165,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O
139,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O,166,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)O
140,CCCCCCCCCCCCCCOS(=O)(=O)O,167,CCCCCCCCCCCCCCOS(=O)(=O)O
168,C1CCOC(=O)C1,170,C1CCOC(=O)C1
169,C1CCOC(=O)C1,213,CC=CC=CC(=O)O
170,C1CCOC(=O)C1,214,CCC=CC=CC=O
170,C1CCOC(=O)C1,215,CC1(CC(=O)OC1=C)C
171,C1CC(NC1)C(=O)O,216,C1=CC=C(C=C1)CC(C(=O)O)N
172,CC(=O)C1=CC=CC=C1,217,CC(=O)C1=CC=CC=C1
173,CC(=O)C1=CC=CC=C1,218,CC(=O)C1=CC=CC=C1
174,CC(=O)C1=CC=CC=C1,219,CC(=O)C1=CC=CC=C1
174,CC(=O)C1=CC=CC=C1,175,CC(=O)C1=CC=CC=C1
174,CC(=O)C1=CC=CC=C1,176,CC(=O)C1=CC=CC=C1
175,CC(=O)C1=CC=CC=C1,219,CC(=O)C1=CC=CC=C1
175,CC(=O)C1=CC=CC=C1,176,CC(=O)C1=CC=CC=C1
176,CC(=O)C1=CC=CC=C1,219,CC(=O)C1=CC=CC=C1
177,CC1=C(C(=C(C1)C)C)C,184,C[C@@H](CCC=C(C)C)CC=O
177,CC1=C(C(=C(C1)C)C)C,220,CC1=C(C(=C(C1)C)C)C
178,CC1=C(C(=C(C1)C)C)C,179,CC1=C(C(=C(C1)C)C)C
178,CC1=C(C(=C(C1)C)C)C,221,C[C@@H](CCC=C(C)C)CC=O
179,CC1=C(C(=C(C1)C)C)C,221,C[C@@H](CCC=C(C)C)CC=O
180,C1=C(OC(=C1)C=O)CO,222,CCC1CC(=O)CC(=O)C1
181,C1=CC=C2C=NC=CC2=C1,223,C1=CC=C2C=NC=CC2=C1
181,C1=CC=C2C=NC=CC2=C1,224,C1=CC=C2C=NC=CC2=C1
181,C1=CC=C2C=NC=CC2=C1,182,C1=CC=C2C=NC=CC2=C1
182,C1=CC=C2C=NC=CC2=C1,223,C1=CC=C2C=NC=CC2=C1
183,COC1=CC=CC(=C1)C=O,225,CCC1CC(=O)CC(=O)C1
184,C[C@@H](CCC=C(C)C)CC=O,226,C[C@@H](CCC=C(C)C)CC=O
185,CC1=CC(=O)CC(C1)(C)C,227,CC1=CC(=O)CC(C1)(C)C
185,CC1=CC(=O)CC(C1)(C)C,186,CC1=CC(=O)CC(C1)(C)C
186,CC1=CC(=O)CC(C1)(C)C,227,CC1=CC(=O)CC(C1)(C)C
187,CC1=CC(=C(C=C1)NC=O)C,228,CC(=O)C1=CC=C(C=C1)OC
188,CC(=O)C1=CC=C(C=C1)OC,229,CC(=O)C1=CC=C(C=C1)OC
189,CC1=CCC(CC1=O)C(=C)C,230,CC1=CCC(CC1=O)C(=C)C
189,CC1=CCC(CC1=O)C(=C)C,231,CC1=CCC(CC1=O)C(=C)C
190,CC1=CCC(CC1=O)C(=C)C,232,CCC=CCC1=C(CCC1=O)C
191,CC(=CCCC(=CC=O)C)C,233,CC(=CCCC(=CC=O)C)C
191,CC(=CCCC(=CC=O)C)C,234,CC1(C2CCC1(C(=O)C2)C)C
192,CC1(C2CCC1(C(=O)C2)C)C,233,CC(=CCCC(=CC=O)C)C
193,CC(=CCCC(=CC=O)C)C,233,CC(=CCCC(=CC=O)C)C
194,C1=CC=C(C=C1)CCCC(=O)O,235,CCCCOC(=O)C1=CC=CC=C1
195,C1=CC=C(C=C1)CCCC(=O)O,196,C1=CC=C(C=C1)CCCC(=O)O
195,C1=CC=C(C=C1)CCCC(=O)O,236,CCC(C1=CC=CC=C1)C(=O)O
196,C1=CC=C(C=C1)CCCC(=O)O,236,CCC(C1=CC=CC=C1)C(=O)O
197,C1=CC=C(C=C1)CC(C(=O)O)N,216,C1=CC=C(C=C1)CC(C(=O)O)N
198,CC1=CC(=O)OC2=C1C=CC(=C2)O,237,CC(=O)C1=CC(=C(C=C1)OC)OC
199,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,238,C1C2=C(C=C(C=C2)O)C3=CC=CC=C31
200,CCCCCCCCCC[N+](C)(C)[O-],239,CCCCCCCCCCCCCN1CC(OC(C1)C)C
201,CC1CC(=O)C=C2C1(CC(CC2)C(=C)C)C,240,CC1CC(=O)C=C2C1(CC(CC2)C(=C)C)C
202,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,241,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
203,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,205,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)O
204,CCC(C)COC1C(C(C(C(O1)CO)O)O)O,242,C1=CC=C(C=C1)CCOC2C(C(C(C(O2)CO)O)O)O
205,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)O,243,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)O)O
206,CCCCCCCCCC1=CC=C(C=C1)OCCOCCO,207,CC1(CCCC2(C1CCC(C2CCC(C)(C=C)O)(C)O)C)C
206,CCCCCCCCCC1=CC=C(C=C1)OCCOCCO,244,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC
207,CC1(CCCC2(C1CCC(C2CCC(C)(C=C)O)(C)O)C)C,244,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC
208,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O,209,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
208,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O,210,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
208,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O,245,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
209,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O,210,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
209,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O,245,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
210,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O,245,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
211,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,203,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
212,C/C(=C(/O)\[C@H](O)[C@@H](O)[C@H](O)[C@H](O)/C(=C(/C1=CC=CC=C1)\C)/O)/C2=CC=CC=C2,246,C/C(=C(/O)\[C@H](O)[C@@H](O)[C@H](O)[C@H](O)/C(=C(/C1=CC=CC=C1)\C)/O)/C2=CC=CC=C2
247,C1C2=CC=CC=C2NC1=O,281,CC1=CC2=NNN=C2C=C1
247,C1C2=CC=CC=C2NC1=O,248,C1C2=CC=CC=C2NC1=O
248,C1C2=CC=CC=C2NC1=O,281,CC1=CC2=NNN=C2C=C1
249,CC(=O)NC1=CC=CC=C1,282,CC(=O)NC1=CC=C(C=C1)O
250,CN1CCCC1C2=CN=CC=C2,283,CN1CCCC1C2=CN=CC=C2
251,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,257,COC(=O)CC1=CNC2=CC=CC=C21
251,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,252,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
