Library_node,SMILES,Connected_node,Expected_SMILES
2298,C1=CC=C(C(=C1)C(=O)O)C(=O)O,2300,C1=CC=C(C(=C1)C(=O)O)C(=O)O
2298,C1=CC=C(C(=C1)C(=O)O)C(=O)O,2299,C1=CC=C(C(=C1)C(=O)O)C(=O)O
2299,C1=CC=C(C(=C1)C(=O)O)C(=O)O,2300,C1=CC=C(C(=C1)C(=O)O)C(=O)O
2299,C1=CC=C(C(=C1)C(=O)O)C(=O)O,2304,C1=CC=C(C(=C1)C(=O)O)C(=O)O
2300,C1=CC=C(C(=C1)C(=O)O)C(=O)O,2304,C1=CC=C(C(=C1)C(=O)O)C(=O)O
2427,C1=CC=C(C=C1)NC2=CC=CC=C2,3669,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N
2870,CN1C2=C(C(=O)N(C1=O)C)NC=N2,3512,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
2961,CCOP(=O)(OCC)OCC,7229,CCCCOP(=O)(OCCCC)OCCCC
3195,CC(C)NC1=NC(=NC(=N1)N)Cl,4639,CCNC1=NC(=NC(=N1)Cl)NC(C)C
3379,COC(=O)NC1=NC2=CC=CC=C2N1,3381,COC(=O)NC1=NC2=CC=CC=C2N1
3391,CCN(CC)C(=O)C1=CC=CC(=C1)C,3436,COC1=CC=C(C=C1)N2CCNCC2
4225,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,4226,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2
4371,CCCCOP(=O)(O)OCCCC,7230,CCCCOP(=O)(OCCCC)OCCCC
4371,CCCCOP(=O)(O)OCCCC,4372,CCCCOP(=O)(O)OCCCC
4371,CCCCOP(=O)(O)OCCCC,7229,CCCCOP(=O)(OCCCC)OCCCC
4371,CCCCOP(=O)(O)OCCCC,5142,CCCOP(=O)(OCCC)OCCC
4372,CCCCOP(=O)(O)OCCCC,7230,CCCCOP(=O)(OCCCC)OCCCC
4372,CCCCOP(=O)(O)OCCCC,7229,CCCCOP(=O)(OCCCC)OCCCC
4639,CCNC1=NC(=NC(=N1)Cl)NC(C)C,5330,CCNC1=NC(=NC(=N1)SC)NC(C)C
4639,CCNC1=NC(=NC(=N1)Cl)NC(C)C,5423,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C
4820,CC1CC(=O)C=C2C1(CC(CC2)C(=C)C)C,4830,CC1CC(=O)C=C2C1(CC(CC2)C(=C)C)C
4834,CC1CC(=O)C=C2C1(CC(CC2)C(=C)C)C,4835,CCCCP(=O)(CCCC)CCCC
5020,CCOC(=O)C1=CC=CC=C1C(=O)OCC,6480,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O
5021,CCCCOC(=O)C1=CC=CC=C1C(=O)O,7837,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
5021,CCCCOC(=O)C1=CC=CC=C1C(=O)O,5023,CCCCOC(=O)C1=CC=CC=C1C(=O)O
5021,CCCCOC(=O)C1=CC=CC=C1C(=O)O,6480,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O
5023,CCCCOC(=O)C1=CC=CC=C1C(=O)O,6480,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O
5023,CCCCOC(=O)C1=CC=CC=C1C(=O)O,7840,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
5023,CCCCOC(=O)C1=CC=CC=C1C(=O)O,7837,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
5171,C1CCC(CC1)N(C2CCCCC2)C(=O)N,5172,C1CCC(CC1)N(C2CCCCC2)C(=O)N
5519,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC=O,6224,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C
5698,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,5700,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
6487,CC(CO)OCC(C)OCC(C)OCC(C)O,14827,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
6487,CC(CO)OCC(C)OCC(C)OCC(C)O,14826,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
6487,CC(CO)OCC(C)OCC(C)OCC(C)O,9415,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O
6487,CC(CO)OCC(C)OCC(C)OCC(C)O,12011,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
6597,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,6598,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
6597,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,7933,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N
6598,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,7933,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N
6745,CCCCCCCCN(C)CCCCCCCC,8129,CCCCCCCCCCCCCCCC[N+](C)(C)C
7162,CC1=C(C(=CC=C1)C)N([C@@H](C)C(=O)O)C(=O)COC,7887,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC
7162,CC1=C(C(=CC=C1)C)N([C@@H](C)C(=O)O)C(=O)COC,7889,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC
7162,CC1=C(C(=CC=C1)C)N([C@@H](C)C(=O)O)C(=O)COC,7164,CC1=C(C(=CC=C1)C)N([C@@H](C)C(=O)O)C(=O)COC
7164,CC1=C(C(=CC=C1)C)N([C@@H](C)C(=O)O)C(=O)COC,7887,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC
7164,CC1=C(C(=CC=C1)C)N([C@@H](C)C(=O)O)C(=O)COC,7889,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC
7229,CCCCOP(=O)(OCCCC)OCCCC,7230,CCCCOP(=O)(OCCCC)OCCCC
7835,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,7836,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
7835,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,7863,CCCCC=CC=CC=CCCCCCCCC(=O)O
7858,CCCCC=CC=CC=CCCCCCCCC(=O)O,7861,CCCCC=CC=CC=CCCCCCCCC(=O)O
7887,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC,7889,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC
8015,CCCCCCCCC=CCCCCCCCC(=O)N,10169,CCCCCC=CCC=CCCCCCCCC(=O)NCCO
8058,C(COCCOCCOCCOCCOCCO)O,10310,C(COCCOCCOCCOCCOCCOCCO)O
8077,CCCCCCC=CCCCCCCCC(=O)OCC,8081,CCCCCCC=CCCCCCCCC(=O)OCC
8078,CCCCCCC=CCCCCCCCC(=O)OCC,8081,CCCCCCC=CCCCCCCCC(=O)OCC
8079,CCCCCCC=CCCCCCCCC(=O)OCC,8081,CCCCCCC=CCCCCCCCC(=O)OCC
8121,CCCCCCCCCCCCCCCCCC(=O)N,10926,CCCCCCCCCCCCCCCCCCCCCC(=O)N
8121,CCCCCCCCCCCCCCCCCC(=O)N,8125,CCCCCCCCCCCCCCCCCC(=O)N
8125,CCCCCCCCCCCCCCCCCC(=O)N,10926,CCCCCCCCCCCCCCCCCCCCCC(=O)N
8334,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,9353,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
8334,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,8586,CC(C)(C)[C@@H]([C@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O
8534,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,8579,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl
8534,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,8558,CCC=CCC1=C(CCC1=O)CCCCCCCC(=O)O
8558,CCC=CCC1=C(CCC1=O)CCCCCCCC(=O)O,8579,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl
8588,CC(C)(C)[C@@H]([C@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O,9353,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
8989,CCCCCCCCCCCCCCCC(=O)NCCO,10275,CCCCCCCCC=CCCCCCCCC(=O)NCCO
9321,C(CCOCCCCOCCCCOCCCCO)CO,15457,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
9415,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O,12011,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
9415,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O,14826,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
9415,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O,14827,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
10032,CC1=C([C@]2(CCCC([C@H]2CC1=O)(C)C)C)CC[C@H](C)CC(=O)O,10033,CC1=C([C@]2(CCCC([C@H]2CC1=O)(C)C)C)CC[C@H](C)CC(=O)O
10275,CCCCCCCCC=CCCCCCCCC(=O)NCCO,10381,CCCCCCCCCCCCCCCCCC(=O)NCCO
10310,C(COCCOCCOCCOCCOCCOCCO)O,12690,C(COCCOCCOCCOCCOCCOCCOCCO)O
10815,CCCCCCCCC=CCCCCCCCCCCCC(=O)N,10821,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N
10995,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,10997,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl
11756,CCCCCC1=CC(=C(C(=C1C(=O)O)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,11757,CCCCCC1=CC(=C(C(=C1C(=O)O)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O
12011,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O,14827,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
12215,COC1=CC=CC(=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,13114,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
12215,COC1=CC=CC(=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,13115,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
13114,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,13115,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
13143,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC,13144,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC
