index,ID,SMILES
98,10032,CC1=C([C@]2(CCCC([C@H]2CC1=O)(C)C)C)CC[C@H](C)CC(=O)O
99,10033,CC1=C([C@]2(CCCC([C@H]2CC1=O)(C)C)C)CC[C@H](C)CC(=O)O
100,10169,CCCCCC=CCC=CCCCCCCCC(=O)NCCO
101,10275,CCCCCCCCC=CCCCCCCCC(=O)NCCO
102,10310,C(COCCOCCOCCOCCOCCOCCO)O
103,10381,CCCCCCCCCCCCCCCCCC(=O)NCCO
104,10815,CCCCCCCCC=CCCCCCCCCCCCC(=O)N
105,10821,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N
106,10926,CCCCCCCCCCCCCCCCCCCCCC(=O)N
107,10995,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl
108,10997,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl
109,11756,CCCCCC1=CC(=C(C(=C1C(=O)O)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O
110,11757,CCCCCC1=CC(=C(C(=C1C(=O)O)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O
111,12011,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
112,12215,COC1=CC=CC(=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC
113,12690,C(COCCOCCOCCOCCOCCOCCOCCO)O
114,13114,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
115,13115,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
116,13143,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC
117,13144,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC
118,13177,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl
119,13178,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl
120,13215,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O
121,13319,CN(C)C(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
122,13320,CN(C)C(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
123,13401,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
124,13402,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
125,13404,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
126,13632,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl
127,13633,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C
128,13634,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C
129,13645,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
130,13728,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
131,13729,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
132,13870,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
133,13871,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
134,14031,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=NCC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC
135,14032,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=NCC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC
136,14826,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
137,14827,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
138,15457,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
139,16492,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
140,17400,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
