Library_node,Connected_node,Cor
53,822,0.294760769
827,831,0.422274814
831,832,0.419440858
2440,2442,0.767897195
2442,2443,0.759784733
2089,2646,0.185332733
2862,2865,0.794030336
2440,3525,0.377680443
3740,3742,0.983111855
3772,3773,0.668268838
4656,4657,0.659449777
6796,6797,0.228165728
7684,7685,0.432227799
8400,9049,0.568442871
