Library_node,Connected_node,Cor
4215,2704,-0.550979672
4463,1766,0.801470951
6634,5443,0.49120131
7433,7432,0.547984277
7437,7432,0.713234758
7437,7433,0.599479922
8407,7559,0.508837267
9015,8730,0.765166355
12148,9085,0.483571348
20038,17543,0.971741556
