ID,m
2699,0.82
4215,0.883
4430,0.987
4463,0.994
5762,0.969
5763,0.982
6388,0.997
6634,0.981
7010,0.971
7397,0.993
7397,0.993
7433,0.956
7437,0.868
7437,0.868
7560,0.899
7688,0.977
7688,0.977
7688,0.977
7744,0.888
8407,0.806
8407,0.806
9015,0.808
12148,0.941
12368,0.996
12368,0.996
13398,0.992
13399,0.993
13399,0.993
16104,0.896
20038,0.932
