ID,m
2644_hyneg,0.846
7397_sedi,0.993
6598_cj,0.82
10217_hypos,0.926
10275_cj,0.938
1103_cj,0.958
1872_hp,0.936
8334_cj,0.891
3740_hyneg,0.921
10159_hp,0.906
5023_cj,0.916
5604_hypos,0.881
5607_hypos,0.856
10310_cj,0.982
3740_hyneg,0.921
8125_cj,0.926
1836_cj,0.96
14129_hypos,0.871
7688_sedi,0.977
4463_sedi,0.994
8121_cj,0.987
8122_cj,0.952
6487_cj,0.997
9415_cj,0.997
2032_hypos,0.748771
4958_hypos,0.925
4304_hp,0.948
1838_cj,0.936
8058_cj,0.972
53_hyneg,0.912
2025_hypos,0.702146
1838_cj,0.936
2538_hp,0.835
1388_cj,0.973
7728_hyneg,0.822
7397_sedi,0.993
5691_cj,0.992
