ID,m
732,0.932
733,0.917
774,0.848
1363,0.952
1687,0.94
1688,0.939551
1825,0.867
1826,0.804
1872,0.936
2078,0.85
2079,0.901
2538,0.835
2743,0.889
3957,0.938
4115,0.808
4304,0.948
4794,0.872
4962,0.984
5217,0.974
5581,0.845
5719,0.896
5776,0.941
6419,0.923
6708,0.899
7324,0.942
7578,0.919
7592,0.826
10013,0.881
10159,0.906
10942,0.839
11129,0.884
11516,0.875
12863,0.901
13902,0.902
