Library_node,SMILES,Connected_node,Expected_SMILES,¡¢ÃÂ“Ïππ,,
7578,C(COCCOCCOCCOCCOCCO)O,10159,C(COCCOCCOCCOCCOCCOCCO)O,,,
7592,CCCCCCCCCCCCCC=CC(C(CO)N)O,7594,CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O,CCCCCCCCCCCCC/C=C/[C@@H]([C@H](CO)N)O,CCCCCCCCCCCCC/C=C/[C@H]([C@@H](CO)N)O,CCCCCCCCCCCCC/C=C/[C@@H]([C@@H](CO)N)O
10013,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,11517,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,,,
10013,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,11516,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,,,
10159,C(COCCOCCOCCOCCOCCOCCO)O,11585,C(COCCOCCOCCOCCOCCOCCOCCO)O,,,
10942,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC,10945,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC,,,
11129,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,12844,CCCCOC(=O)CC(C(C(=O)C)C(=O)OCCCC)(C(=O)OCCCC)O,,,
11516,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,11517,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,,,
12863,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC,12866,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,,,
13902,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,14592,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,,,
