ID,m
13215_cj,0.965
58_hyneg,0.967
835_hyneg,0.836
12368_sedi,0.996
2870_cj,0.995
2699_sedi,0.82
5217_hp,0.974
835_hyneg,0.836
3349_hypos,0.886
4741_hypos,0.905
14129_hypos,0.871
2092_hyneg,0.862
2079_hp,0.901
5763_sedi,0.982
7010_sedi,0.971
5881_cj,0.887
2565_hyneg,0.935
8334_cj,0.891
1891_hyneg,0.836
4371_cj,0.899
3195_cj,0.977
7688_sedi,0.977
733_hp,0.917
8015_cj,0.81
20038_sedi,0.932
3742_hyneg,0.9
3358_hypos,0.888
14140_hypos,0.837
3530_hypos,0.833
12863_hp,0.901
2538_hp,0.835
4639_cj,0.992
4115_hp,0.808
732_hp,0.932
2567_hyneg,0.826
6194_hypos,0.841
3364_hypos,0.805
